S.No.,District,Total No. of Houses,Total Population,Death Male,Death Female,Death Unknown,Total Death,Injured Male,Injured Female,Total Injured,Govt. Houses Fully Damaged,Govt. Houses Partially Damaged,Private House Fully Damaged,Private House Partially Damaged
1,Sindhupalchowk,66688,287798,1497,1943,0,3440,845,726,1571,0,0,63885,2751
2,Kathmandu,436344,1744240,621,600,1,1222,4415,3444,7859,85,277,36973,50753
3,Nuwakot,59215,277471,455,625,0,1080,529,523,1052,14,15,57943,4200
4,Dhading,73851,336067,340,393,0,733,546,672,1218,93,58,43741,18720
5,Rasuwa,9778,43300,287,310,0,597,377,394,771,0,0,7040,2410
6,Gorkha,66506,271061,212,228,0,440,462,493,955,228,37,44650,13430
7,Bhaktapur,68636,304651,118,215,0,333,1023,1078,2101,0,0,18900,9090
8,Kavrepalanchowk,80720,381937,129,189,0,318,548,631,1179,0,0,49933,23714
9,Lalitpur,109797,468132,67,107,0,174,1577,1475,3052,217,198,17444,8064
10,Dolakha,45688,186557,84,85,0,169,346,316,662,28,0,48880,3120
11,Ramechhap,43910,202646,16,23,0,39,67,68,135,54,56,26743,13173
12,Makwanpur,86127,420477,16,17,0,33,92,137,229,46,177,15012,17042
13,Solukhumbu,23785,105886,15,5,0,20,80,20,100,75,142,8555,8828
14,Okhaldhunga,32502,147984,10,10,0,20,30,31,61,1,191,10031,3107
15,Sindhuli,57581,296192,5,9,0,14,117,115,232,92,231,18197,10028
16,Chitawan,132462,579984,6,4,0,10,79,64,143,0,40,472,754
17,Sunsari,162407,763487,2,7,0,9,9,26,35,0,42,2,63
18,Parsa,95536,601017,1,5,0,6,20,30,50,0,12,0,35
19,Bara,108635,687708,0,5,0,5,18,44,62,1,0,50,0
20,Lamjung,42079,167724,3,2,0,5,12,28,40,39,48,8472,8876
21,Mahottari,111316,627580,2,1,0,3,9,7,16,10,14,500,600
22,Rautahat,106668,686722,1,2,0,3,22,16,38,0,9,70,199
23,Kaski,125673,492098,1,2,0,3,19,19,38,10,45,1744,6963
24,Morang,213997,965370,1,1,0,2,33,26,59,0,51,3,112
25,Bhojpur,39419,182459,0,2,0,2,5,8,13,0,21,1414,3513
26,Sarlahi,132844,769729,1,1,0,2,30,40,70,7,27,0,0
27,Taplejung,26509,127461,0,1,0,1,4,3,7,0,69,51,436
28,Tehrathum,22094,101577,1,0,0,1,5,9,14,0,60,91,603
29,Udayapur,66557,317532,0,1,0,1,16,19,35,52,460,95,516
30,Siraha,1179622,637328,0,1,0,1,19,20,39,0,20,0,540
31,Dhanusha,138249,754777,1,0,0,1,24,21,45,0,8,4,47
32,Nawalparasi,128793,643508,0,1,0,1,18,23,41,0,14,408,3099
33,Palpa,59291,261180,0,1,0,1,9,7,16,2,24,1434,2665
34,Gulmi,64921,280160,0,1,0,1,4,7,11,73,271,2100,4363
35,Rolpa,43757,224506,1,0,0,1,2,0,2,0,6,62,159
36,Rukum,41856,208567,1,0,0,1,1,0,1,10,16,136,976
37,Panchthar,41196,191817,0,0,0,0,5,4,9,22,5,229,926
38,Ilaam,64502,290254,0,0,0,0,5,5,10,34,42,316,2032
39,Jhapa,184552,812650,0,0,0,0,10,15,25,0,46,95,144
40,Dhankuta,37637,163412,0,0,0,0,3,2,5,0,39,929,1500
41,Sankhuwasabha,34624,158742,0,0,0,0,4,4,8,88,208,1327,3031
42,Khotang,42664,206312,0,0,0,0,3,5,8,18,55,2110,4986
43,Saptari,121098,639284,0,0,0,0,7,17,24,0,28,0,355
44,Rupandehi,163916,880696,0,0,0,0,15,24,39,1,17,1,79
